date,rank,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,audiAcc,scrnCnt,showCnt
2026-05-19,4,20259773,슈퍼 마리오 갤럭시,2026-04-29,36829940,4.0,3890,1477015,442,666
2026-05-19,5,20261782,프로젝트 헤일메리,2026-03-18,41028280,4.4,3750,2854859,401,578
2026-05-19,6,20242837,왕과 사는 남자,2026-02-04,26663250,2.9,3014,16869317,261,353
2026-05-19,7,20240532,짱구,2026-04-22,19875800,2.1,2144,407791,265,366
2026-05-19,8,20252402,군체,2026-05-21,21062000,2.3,1953,4300,9,9
2026-05-19,9,20040695,이프 온리,2004-10-29,20509050,2.2,1833,1059253,211,291
2026-05-19,10,20194376,탑건: 매버릭,2022-06-22,21837720,2.3,1830,8274051,130,184
2026-05-18,1,20259626,마이클,2026-05-13,479831820,47.6,43653,691551,1534,5202
2026-05-18,2,20259791,악마는 프라다를 입는다 2,2026-04-29,151073870,15.0,14277,1458463,774,2200
2026-05-18,3,20254121,살목지,2026-04-08,95426650,9.5,8793,3178506,622,1583
2026-05-18,4,20261782,프로젝트 헤일메리,2026-03-18,43297140,4.3,3965,2851109,391,580
2026-05-18,5,20259773,슈퍼 마리오 갤럭시,2026-04-29,36799980,3.6,3642,1473125,444,685
2026-05-18,6,20248252,와일드 씽,2026-06-03,22216000,2.2,2440,2652,8,9
2026-05-18,7,20242837,왕과 사는 남자,2026-02-04,22702700,2.2,2426,16866303,261,348
2026-05-18,8,20252402,군체,2026-05-21,20498000,2.0,1941,2347,9,9
2026-05-18,9,20040695,이프 온리,2004-10-29,20203150,2.0,1830,1057420,210,290
2026-05-18,10,20240532,짱구,2026-04-22,17974100,1.8,1790,405647,264,364
